ncbi_taxon_id,scientific_name
137460,Aerosphaera
141948,Thermomonas
144193,Turicella
146784,Bacteriovorax
146785,Thermosynechococcus
146813,Dendrosporobacter
146937,Azospira
150022,Finegoldia
150247,Anoxybacillus
151037,Anaerosinus
153265,Aequorivita
156454,Anaeroglobus
156973,Dysgonomonas
157920,Cellulosimicrobium
158846,Megamonas
158848,Moellerella
162171,Magnetococcus
162289,Peptoniphilus
165695,Sphingobium
165696,Novosphingobium
165697,Sphingopyxis
165779,Anaerococcus
165812,Sporanaerobacter
166484,Caminicella
168808,Sneathia
172900,Victivallis
173479,Gemmatimonas
174708,Allobaculum
177971,Shuttleworthia
182639,Kribbella
182709,Oceanobacillus
184869,Varibaculum
186650,Microvirga
187144,Caldithrix
188143,Enterovibrio
188905,Jannaschia
189330,Dorea
191494,Conexibacter
195950,Tannerella
196081,Scardovia
196082,Parascardovia
198251,Candidatus Pelagibacter
203804,Candidatus Blochmannia
204037,Dickeya
204474,Dichotomicrobium
204475,Gemmiger
204476,Labrys
207244,Anaerostipes
207599,Solirubrobacter
212791,Enhydrobacter
216851,Faecalibacterium
227388,Thermodesulfobium
227979,Jeotgalicoccus
233189,Anaerolinea
233191,Caldilinea
236752,Fastidiosipila
239759,Alistipes
239934,Akkermansia
241189,Hespellia
244127,Anaerotruncus
246875,Algoriphagus
253238,Ethanoligenens
254250,Isoptericola
256846,Lentisphaera
262406,Thermobaculum
264995,Anaerofustis
265980,Alkalimonas
267986,Owenweeksia
268408,Rhodovarius
269260,Nitratifractor
270497,Catabacter
278993,Thermincola
283168,Odoribacter
289201,Pontibacillus
291988,Thermosediminibacter
292632,Subdoligranulum
292636,Thermoflavimicrobium
294702,Proteiniphilum
308865,Elizabethkingia
332162,Candidatus Solibacter
332248,Truepera
335405,Sphingosinicella
338191,Nitrosopumilus
343331,Kopriimonas
346096,Paludibacter
349742,Sedimenticola
354354,Niastella
363276,Ktedonobacter
365348,Pelosinus
375288,Parabacteroides
375928,Natranaerobius
386607,Trigonala
390876,Nisaea
392332,Geoalkalibacter
396811,Fulvivirga
397864,Barnesiella
399320,Sphaerochaeta
