feature_names,importance
938,0.12715985921543912
2363,0.09502960536214247
1450,0.08175483056295213
2063,0.07788503654199366
1846,0.07285011493026755
2146,0.06503224488355333
2140,0.05031694944148968
473,0.050223053295594344
1023,0.0485852046042123
1891,0.041074472941048025
701,0.02899495855017551
768,0.025548903619873463
232,0.023184755049352045
655,0.021299195222205265
1375,0.020528267451724015
1634,0.018017219896879613
162,0.0172538323574078
2085,0.013270345604287899
1916,0.01242058499353686
504,0.011935827482672834
915,0.010016011590489544
2625,0.009637925797103467
1007,0.008685799911247974
2550,0.007955184832125439
2701,0.006365578122900328
542,0.006280311149548035
1018,0.00474382490655601
2118,0.0036972990019450767
1800,0.003631242276981787
2879,0.003346178184817914
331,0.0030852390899265684
2940,0.002934516721352309
1417,0.0028701851284251476
902,0.0026854763037325604
2003,0.00247510930735463
713,0.002425305479187404
2237,0.0019546535565964523
1796,0.0019446690375563682
1690,0.001883731476473596
2694,0.0018810056744411603
17,0.0017950432693244374
364,0.0013847230696671553
1971,0.001307587447166962
2495,0.0011457264294221787
2147,0.0008686916389346153
963,0.0008257682372393762
496,0.0006996210153082301
474,0.0006116471119507042
1111,0.0003583679705750102
1409,0.00013831425484175022
