feature_names,importance
63917,0.10396512705009561
18297,0.07423100887422115
61539,0.06969705887413642
62690,0.06777985817897424
106460.2,0.06283649670807266
101550.5,0.059595022961533066
71676,0.05898370533104273
105860.5,0.0577786058883842
9001,0.04857904683782144
103030.3,0.02670156185448684
16258,0.025932423927043202
47892,0.02462825069802988
93867,0.02046307694459656
67985,0.01966390088036955
59568,0.017342636515538808
65270,0.014412787878885426
98186,0.013804162380634071
90970,0.013710659170495253
55841,0.013632015645717139
9549,0.012249565307067459
19860,0.011414558729538882
15306,0.011218091715076739
98846,0.0111452194798174
94767,0.010676164289466343
52366,0.010194214815541905
86983,0.009002666159322263
60351,0.008308833420405136
22326,0.007989681815852235
1211,0.007465635404405769
3435,0.00709339765180829
7638,0.006905315670682224
75975,0.006739445803182907
100060,0.00632963940849289
93945,0.006052162188334968
30752,0.006019433163958989
15157,0.005888411762006932
83734,0.005631895913105151
60826,0.005580655899453268
46998,0.0054933863448737245
104350.4,0.005168882991637304
18761,0.0049678354364655385
106050.2,0.00448947800912763
43233,0.004394457891362802
58781,0.004388012940550521
91865,0.004309750371753011
3030,0.0039904532824573055
92122,0.003839089500347466
18927,0.003282416944668201
48500,0.0030520092600216813
24952,0.0029818318291370063
