1 D001714
2 D003863
3 D007410
4 D008171
5 D012559
6 D013959
7 D043183
8 D001327
9 D003967
10 D003248
11 D008881
12 D004827
13 D002318
14 D002446
15 D003920
16 D003015
17 D007674
18 D001289
19 D015212
20 D008107
21 D000067877
22 D000544
23 D010661
24 D001321
25 D015658
26 D000236
27 D015179
28 D003093
29 D005764
30 D003424
31 D015497
32 D006678
33 D020345
34 D065626
35 D003108
36 D004485
37 D016360
38 D024821
39 D002277
40 D007230
41 D008545
42 D015518
43 D025241
44 D015209
45 D013274
46 D001171
47 D011565
48 D019337
49 D020187
50 D010300
51 D006515
52 D000855
53 D003924
54 D007676
55 D003550
56 D016918
57 D005891
58 D055113
59 D009765
60 D012400
61 D001249
62 D016640
63 D037841
64 D008103
65 D012778
66 D003922
67 D054198
68 D006111
69 D050031
70 D013964
71 D000067011
