classes,fpr,tpr,auc
Y,0.0,0.0,0.9391715976331361
Y,0.0,0.12307692307692308,0.9391715976331361
Y,0.0,0.49230769230769234,0.9391715976331361
Y,0.015384615384615385,0.49230769230769234,0.9391715976331361
Y,0.015384615384615385,0.6153846153846154,0.9391715976331361
Y,0.03076923076923077,0.6153846153846154,0.9391715976331361
Y,0.03076923076923077,0.6461538461538462,0.9391715976331361
Y,0.046153846153846156,0.6461538461538462,0.9391715976331361
Y,0.046153846153846156,0.676923076923077,0.9391715976331361
Y,0.07692307692307693,0.676923076923077,0.9391715976331361
Y,0.07692307692307693,0.7230769230769231,0.9391715976331361
Y,0.09230769230769231,0.7230769230769231,0.9391715976331361
Y,0.09230769230769231,0.7538461538461538,0.9391715976331361
Y,0.1076923076923077,0.7538461538461538,0.9391715976331361
Y,0.1076923076923077,0.8307692307692308,0.9391715976331361
Y,0.13846153846153847,0.8307692307692308,0.9391715976331361
Y,0.13846153846153847,0.8461538461538461,0.9391715976331361
Y,0.15384615384615385,0.8461538461538461,0.9391715976331361
Y,0.15384615384615385,0.8615384615384616,0.9391715976331361
Y,0.18461538461538463,0.8615384615384616,0.9391715976331361
Y,0.18461538461538463,0.8769230769230769,0.9391715976331361
Y,0.2,0.8769230769230769,0.9391715976331361
Y,0.2,0.9230769230769231,0.9391715976331361
Y,0.2153846153846154,0.9230769230769231,0.9391715976331361
Y,0.2153846153846154,0.9384615384615385,0.9391715976331361
Y,0.24615384615384617,0.9384615384615385,0.9391715976331361
Y,0.24615384615384617,0.9538461538461539,0.9391715976331361
Y,0.2923076923076923,0.9538461538461539,0.9391715976331361
Y,0.2923076923076923,0.9692307692307692,0.9391715976331361
Y,0.4153846153846154,0.9692307692307692,0.9391715976331361
Y,0.4153846153846154,0.9846153846153847,0.9391715976331361
Y,0.47692307692307695,0.9846153846153847,0.9391715976331361
Y,0.47692307692307695,1.0,0.9391715976331361
Y,1.0,1.0,0.9391715976331361
