,Healthy
OTU_1,0.003486077759680803
OTU_499,0.011720526767703077
OTU_4427,-0.008286169457846496
OTU_7494,0.009079982389817621
OTU_6028,-0.012350243347712033
OTU_1526,0.007322838670926493
OTU_6777,-0.008081949045512307
OTU_1906,0.009671935081644286
OTU_5948,-0.009179754449579925
OTU_8405,0.008242733163232964
OTU_202,0.006769502136568026
OTU_6187,-0.014607360004965464
OTU_1733,0.013207436274511491
OTU_3719,-0.008815356082263793
OTU_6395,0.010664432624902605
OTU_4515,0.0030536568832680135
OTU_2979,-0.01134744784576093
OTU_1216,0.010121537795539369
OTU_3520,-0.01067464313671423
OTU_2472,0.0031155731866716898
OTU_1264,0.007313877046768447
OTU_6235,-0.008031696430764354
OTU_1494,0.008669488980969158
OTU_16,-0.005779109093272776
OTU_2081,-0.007309869434305691
OTU_1714,0.014334065710705361
OTU_5614,-0.005811345601484307
OTU_4123,0.01568314194044623
OTU_5497,-0.01008714727489065
OTU_7036,0.0041724940543210265
OTU_6391,0.010597291845154289
OTU_6033,-0.010077128965647325
OTU_2974,-0.010003185247409037
OTU_1732,0.012708250826585221
OTU_5735,-0.010227511970449356
OTU_7793,0.00751800819588608
OTU_4763,0.009206750793094926
OTU_3111,-0.01077623136506623
OTU_2550,-0.01059925591934164
OTU_1167,0.0057780874025997134
OTU_253,-0.00911712076718455
OTU_4888,-0.0040403936793351
OTU_2311,0.014092184051757165
OTU_2446,0.005825948323886052
OTU_6029,-0.012853475320975596
OTU_4168,0.007223904485744988
OTU_5034,-0.010385163186113072
OTU_7403,0.006698552084589757
OTU_2912,-0.00819049287644658
OTU_2321,0.008082174887613258
