features,j_cmi,MIfy
1023,2.493255349483247,2.493255349483247
1655,0.18058130021543084,2.1027996096211052
1843,0.07466296797496463,1.8691608652104938
1846,0.1506616867708701,1.640466295899166
2063,0.0769797068103939,1.5490292914962684
1449,0.06300324696785498,1.5252143143748973
2592,0.08870208063549923,1.4952302232299375
857,0.07712510781950832,1.3012379959360185
2604,0.0918638702106358,1.2828562804660497
1450,0.2830980028923199,1.261557897358922
473,0.10718846908292878,1.1095731198807184
1891,0.1152718651394955,1.0213197017094688
2146,0.05734236200391907,0.9445370566014417
938,0.2498785339921219,0.9225092353708508
655,0.0457206826369192,0.8922251718112575
2140,0.06736169654907787,0.8605916412552532
244,0.05483229291171465,0.8477420804418405
504,0.08761032198899255,0.8394573794044913
162,0.14982040278521747,0.8076060728587273
2363,0.2748562399427066,0.7931315385464803
2550,0.05604393638943994,0.7784098307390095
1887,0.06527711122503721,0.768326647194085
1840,0.060318110578523876,0.7585890344955586
1634,0.07936754219166842,0.754859041967813
1197,0.06916071378806665,0.6855372084236988
1916,0.06317765838090306,0.672686464802948
768,0.06818884743740328,0.5930897892206546
2118,0.06791963930134348,0.586641726142104
1312,0.06123026564606554,0.5300744704669147
2879,0.05995860099542183,0.5295350960628258
1375,0.06497684888819621,0.5097470877105494
915,0.05548337235017681,0.472250109756454
364,0.06088334310832766,0.46308122825474696
2556,0.06460651534276107,0.4496407888047633
2085,0.05907360456212196,0.39433164666561504
2625,0.10854666136535723,0.37296746739614806
1971,0.05569209817427728,0.3570877343400132
2701,0.06656573357531359,0.34947471345807823
2086,0.004519253552624003,0.33820646858329306
1018,0.05622513128343751,0.30592849107302245
542,0.048862857534939574,0.26845220600026476
1796,0.050225104051483116,0.25560878907340134
2434,0.05632834833430789,0.2445285758664406
2237,0.05893432506123733,0.21331271491528847
2147,0.058803482648085076,0.21049552578873376
2940,0.05674276280772045,0.2099901189166924
1368,0.0574494189362387,0.20399989193539714
1064,0.06069465868297583,0.20397771475866522
17,0.05944449154584075,0.19510237838108502
1640,-0.10338314168160334,0.09406986270295681
