feature_names,importance
1843,0.0619006395259609
938,0.06163110104098678
2592,0.061290679399505436
2063,0.05837520302846518
1023,0.05280962072337241
1846,0.050675275935165576
1449,0.043892848196396626
2363,0.04210689640172393
2604,0.03869161130961067
1891,0.03451470103107248
1197,0.03298499756590002
1450,0.03294978968849964
768,0.03118968479124111
1375,0.031134064021029535
1655,0.030580225689819635
2146,0.025323064134756428
2140,0.0215676974699524
1840,0.020947410762926038
857,0.020711093731468896
2625,0.017394458761628432
2556,0.015798808954698436
915,0.01377135615279325
473,0.01373044437581087
655,0.013728021628886951
244,0.013718661624135601
504,0.012622795290442275
1634,0.011580233388636863
2085,0.009947226225610492
1887,0.00989709371341437
162,0.00933624955118073
2879,0.009038141265745401
1368,0.008798348701812304
2086,0.00832347346774088
1064,0.007558124652495508
364,0.006958530869565155
2550,0.006825124342812274
1018,0.0066743770026404525
1312,0.006623825537355975
2701,0.006203296341687566
17,0.005197962306779119
542,0.004282692603860732
1796,0.004260506832171398
2118,0.004114094977299966
1971,0.003867566083252417
1916,0.0036425005185905667
2237,0.003486693338928162
2434,0.0031494541999790146
2147,0.0028476765806640524
2940,0.002292867287244568
1640,0.001052788974282567
