,Chlortetracycline,Control,Penicillin,Vancomycin,VancomycinPenicillin
OTU_2,0.0,0.08695120758071116,0.0,-0.21132223959000562,0.023291293886997775
OTU_58,0.6846838062174926,-0.12235540786760665,-0.13526727415858686,0.0,-0.16165360659026054
OTU_39,0.12420580399214114,0.12890524297584863,-0.09350371952688373,0.0,-0.05263005751539655
OTU_25,0.04349117015232019,-0.1014202243303526,-0.14826395950533927,0.6324562742703518,-0.24991102165447704
OTU_120,-0.033787335858675216,0.15398943453804848,-0.03423345579893744,-0.10101961016548827,0.191408366145993
OTU_116,-0.11955709874670435,-0.548796227723044,0.6423775509203061,0.5612670918035151,-0.3589349743520867
OTU_32,0.8994322934054184,-0.03417448927718041,0.0,-0.428545099200048,-0.16886084561495596
OTU_95,0.0,-0.5384222987565557,-0.5102389151714919,0.7243380529413281,0.25440779257461305
OTU_109,0.0,0.5733682077051897,-0.1148667632284012,0.0,-0.005307687453445509
OTU_12,-0.5207787634020099,0.13685009306383142,-0.022766805821272097,1.4226167427014142,-0.8395913792733974
OTU_101,0.11997308027207289,-0.7535040302440822,-0.41518047904047006,0.01768977537473876,0.8546911428085612
OTU_114,0.03476735221799439,1.0083333056191677,-0.24748255893322793,-0.3397565720947337,-0.2795039965625538
OTU_26,0.25207350213007373,0.577702310813259,-0.22783883661228416,-0.11847081626287617,-0.30713011569286364
OTU_107,0.2897695361188779,-0.2598981443353742,-0.11799590703822323,-0.07651751721079697,0.34099734686530125
OTU_57,0.6885926252899639,-0.18642795398956144,-0.19422218661603807,0.01685905273303321,-0.14842179422794258
OTU_27,-0.2370190339282291,0.6496614681841905,0.27968952279268905,-0.25636833947882187,-0.2596152824613337
OTU_35,-0.005096996642238703,0.04578711555923531,0.09963023053492621,0.0,-0.001437388386702603
OTU_65,0.7703765126750292,0.0,-0.30478237483321324,0.04433853333080195,-0.385898535060429
OTU_104,0.018160932874623264,-0.25846344155451184,0.06639046609813345,-0.03906746556933239,0.03665335408487138
OTU_9,0.23872988979459836,0.0,0.1360095697435762,0.0,-0.47894834393726876
OTU_49,0.128842901258126,-0.024779543552805372,-0.27357049565090336,0.0,0.3380484328771519
OTU_30,-0.050787774256386455,0.06639531604038774,0.0,0.08414685659555991,-0.20592945171442606
OTU_98,0.09698582500665902,-0.18185979504245547,0.0,-0.024469995870871657,0.1564114224980543
OTU_115,0.09547823663013442,0.5339062011070834,-0.18896167599351815,-0.05488469792165098,-0.20916649778304872
OTU_41,-0.12672041381171434,0.0,0.10536213088996439,0.0,0.07593063630841948
OTU_76,0.13312906017178736,0.06392964448124533,-0.20498412000789348,-0.06920420929745676,0.0
OTU_67,0.0,0.0,-0.20186884132510477,-0.19502258746516135,0.37474096930598066
OTU_37,0.0,0.018332443551044793,0.12562092312197595,-0.1393669759287696,0.0
OTU_117,0.3063571846642848,0.3507450965788252,-0.21903489612826552,0.0,-0.2954091285224566
OTU_74,0.005379290090657543,0.0,-0.490458199468276,0.0,0.12702289247464785
OTU_96,0.16464743944908772,-0.11813066568364243,0.7113510604293856,-0.48054061107307233,-0.10099298506570305
OTU_31,0.12573371808695563,0.0,0.0,0.08220342157486131,-0.13000067893408376
OTU_55,0.019656328216580417,0.0,-0.12597611989668553,0.5269984803160018,-0.37852033604231555
OTU_3,-0.09335619671049816,0.023650017765210977,0.0,0.0,0.06172667896527471
OTU_121,0.0,-0.29843758936205883,0.0,0.2852318978874317,0.0
OTU_7,-0.21722842446882262,0.22037056025572266,0.09828073364481256,-0.0502535295266139,0.0
OTU_61,0.0,0.11364464672652945,0.012844442012394135,0.0,-0.12874325965584432
OTU_4,-0.0807475601762065,0.0,0.0,0.0,0.36622051604669353
OTU_92,0.3904590643871754,0.0,-0.2569166852187313,0.0,0.0
OTU_87,-0.2896704234811893,0.5951694336931904,-1.1568392150837814,0.3367418407603304,0.3382464743618327
OTU_5,0.33315396297003913,-0.3119640060304614,0.27133090321098113,0.0,-0.4385511763277444
OTU_113,0.09783363163892182,0.0,0.0,0.0,-0.046366978752531804
OTU_38,-0.19537252666486823,0.0,0.5500510097650918,-0.006542565371725681,0.0
OTU_100,0.025357887044906626,-0.07242432389871585,-0.3406475287343175,0.39910393507110814,0.0
OTU_90,-0.1552202278584708,0.0,0.33535172256035967,0.15458644489714363,-0.2070151261556096
OTU_13,0.0,0.0,0.0,0.0,0.08286655950191948
OTU_56,-0.2022743298354161,0.0,0.0,0.0,0.488329695960291
OTU_77,-0.0221290078177176,0.14740614026065554,0.0,-0.05167726345242509,0.0
OTU_93,0.4133011739835894,-0.13826234014600466,0.22375916816091496,-0.13620640435929451,-0.18623667448918954
OTU_78,0.0,-0.007023608267702938,-0.25917944699310735,0.3583483955768496,0.04814457634257794
