features,j_cmi,MIfy
8982,1.2723392725957734,1.2723392725957734
603,0.16795156795737443,0.890693045062463
2798,0.11822021031306562,0.752469561798714
8983,0.09919765336054043,0.6862027713419201
14036,0.11167113703664461,0.49442262265472814
6910,0.10070656910031689,0.4582856639897759
4169,0.16312457145845638,0.45053533154127634
2179,0.10977872750293449,0.4497513746035213
11316,0.10241252247050492,0.41971318146046444
10163,0.09532694599323405,0.419499624121078
2694,0.1469849293350194,0.41564538221164016
2799,0.10546408015698211,0.37900101997002245
10646,0.15631422380650967,0.3785492488954443
1314,0.09505321799583205,0.34940133974964493
2040,0.11522368626751978,0.3473423480678499
14341,0.10985018771612734,0.3394116863498571
8040,0.09987342598691434,0.3348089102225098
9151,0.1118291719928094,0.33188326778972055
2251,0.09959272186441193,0.32939474060640817
15724,0.10181683111112205,0.3152405536304952
10563,0.12694364108904369,0.3020386900593526
6323,0.10774366777645716,0.29914231081053266
14844,0.10739793695868394,0.2896106899028268
10127,0.09864933046003715,0.28929383739533043
15672,0.11018065698174928,0.28910916889363825
11848,0.09708405308043208,0.28645490143987007
12351,0.09553551656341669,0.28114079601021946
10993,0.09593580510366936,0.27399302635166345
5323,0.10082510619307275,0.27398736383224054
1872,0.09801133451506694,0.2697613167838213
15337,0.10103508573713088,0.26116570220472424
15302,0.09738558635018621,0.2578022963422544
88,0.12324477152193103,0.2571282274823381
10076,0.1540919946988064,0.25060558147047085
13713,0.09380612655163162,0.24645220625374242
12341,0.1374001850165784,0.24466451262428834
11134,0.10160219068576157,0.23695464600473515
10504,0.09385474374022287,0.23306453610338873
13401,0.09570040791226286,0.23178199432180646
11066,0.10036972080103362,0.22958620296708387
6185,0.10263646351800486,0.22725833082680924
9416,0.10922548551502377,0.20260799681539088
8912,0.09219503516986886,0.19887093731458694
3932,0.0909820032227486,0.19645200223917025
4821,0.10153893188414376,0.18987233943700788
11653,0.10213619588423162,0.18219770278467862
10404,0.09971515748454113,0.18135716656692735
6115,0.09175880259469515,0.1683895958485775
3832,0.09716350362077662,0.1627473303878728
1931,0.1028978082450287,0.1561179260622636
