feature_names,importance
2179,0.0811988477019253
8982,0.07577482320349124
2798,0.06990144904509753
9151,0.062485249023357815
4169,0.061534264203781136
603,0.056663465963223955
8983,0.04758082492083667
14036,0.045531919378801244
12341,0.043745193271182245
5323,0.03954354592051091
2799,0.03716532041526218
10646,0.035208522838619555
6910,0.03035040131786603
2694,0.027319442125422005
13401,0.027145487825728315
10127,0.022563264300296416
2040,0.02069439877827381
6323,0.018653626588536396
11653,0.016544592981899715
2251,0.013942408781390215
1314,0.01287581128386912
10163,0.012713925911735605
10076,0.011549930416374768
10404,0.011385380457709962
11316,0.010956788191352705
1931,0.010266964072353117
8040,0.009393718809201309
3832,0.00923789244127575
11134,0.008838019017649674
15724,0.008393163195255553
6185,0.007210659666328794
10993,0.006506804932955527
10563,0.0060165209217938834
14341,0.0055579229076391165
12351,0.005451686374397111
15302,0.005077378430998135
11848,0.0047975522445859965
14844,0.004424772049146212
88,0.002814532725342535
1872,0.002447913112382128
15337,0.0014754689285155149
10504,0.0014636527970237872
8912,0.0014339803774807906
3932,0.0014074496160629928
15672,0.0012830337116774713
13713,0.0011685454117844752
9416,0.0009030577686098336
4821,0.0008304395304108094
6115,0.0004913872001261699
11066,7.859891045839627e-05
