features,j_cmi,MIfy
8982,2.6537136720267,2.6537136720267
8983,0.23885920144642903,2.0088517081874606
15788,0.1587490317869631,1.5318442635659153
603,0.10130563497912948,1.4775167167601628
5897,0.09786385147863919,1.4447309398224686
1433,0.10823918522567078,1.3679149594894469
7137,0.10533147033764334,1.2572728031126417
2798,0.09937650238916618,1.2265823469222044
8686,0.08749109757547635,1.1249734727777172
4502,0.08863672017143276,1.0690374952766426
13947,0.09337210056905898,1.0128734209355539
7722,0.09965050076574256,0.999873318048663
3274,0.09944867798898627,0.9918536253377361
10344,0.08731106922672782,0.8784551899958313
1759,0.08451867689272397,0.8703208794841655
7902,0.08784230064049059,0.8519615697740512
11949,0.09393522581951108,0.8137507991073276
3431,0.09086665571535113,0.771425848012711
3508,0.0879334586055801,0.7605823136363328
6910,0.08745157758566291,0.7455070950477234
4560,0.08603776436347355,0.6787391809380399
15031,0.08249294496986626,0.6361576967829103
6140,0.08262845810632735,0.6076289768044001
3210,0.09665671466381398,0.6046721595229321
13982,0.08902155834648151,0.600159340535682
13983,0.08583421771994848,0.5973157667922995
2179,0.08696461555919593,0.5823011776864919
8213,0.08562343790336552,0.5753887763453447
15480,0.028480175758990978,0.5273938444801467
6328,0.0929852594304309,0.5223612517140452
6143,0.08293233160027175,0.5218052417351191
7482,0.08320598902838938,0.5201259059487464
2799,0.0885541061334495,0.5124799432956668
16099,0.0948116843962209,0.5091321138769533
6468,0.07632495283657287,0.5021795612232447
7951,0.08451751427435789,0.5004992544771301
11342,0.09460749209714497,0.4905242178101945
1808,0.09435591142883415,0.4848402223816186
4432,0.09036660894323018,0.4831415518449784
5240,0.08646832052920705,0.4682162868124178
10249,0.08440302963708485,0.4349721078500748
5450,0.08618935199613209,0.42876646618027703
15212,0.08486751193829395,0.4109790125071693
15443,0.08377604911730901,0.39448601314761866
15816,0.08545792906930744,0.390217661839662
16320,0.08700133391854253,0.3891942917814202
9376,0.0832275055923179,0.37159026988256016
13338,0.09161195413422613,0.36699152004200286
14457,0.08831782728056325,0.3658798341719116
2445,0.08896780539314963,0.36147074725369377
2482,0.09178501782927873,0.36083859849929034
2999,0.08314244534241388,0.36064754249253284
15283,0.08965055660778176,0.35347456566113955
7189,0.08947292781844896,0.34886572288606743
4897,0.08445220291799421,0.3484260603540208
6501,0.08720142640422329,0.3423595511964699
15877,0.08875859174916695,0.3404762328695554
3382,0.08653588161045322,0.3348388470076671
15239,0.08405330471582967,0.32422657332596616
9530,0.0909321884385017,0.32394836233069935
4205,0.07512483061902994,0.3182692391110473
12134,0.08387068820106097,0.3150479965357511
7150,0.08157175444180415,0.31345965304910095
13811,0.0864202439486671,0.311903479522746
503,0.0856085274552146,0.31189568845040405
12858,0.08459157111200624,0.29853821510488476
4040,0.08338850034007667,0.28591640884472946
5844,0.07931982049515143,0.2781236115492334
4826,0.08498594861834871,0.2777032003389994
4384,0.07748591492127277,0.2768608974123361
15039,0.08527104112957629,0.2747317596086414
16094,0.08583892418581529,0.2695535672876659
14022,0.08616888280436644,0.25994832445289173
11050,0.0858127570917914,0.2553004966994945
7471,0.07058747558021822,0.2553004966994936
4170,0.08799138526767741,0.25453123541067324
5561,0.07913482474279396,0.25325027940543965
7746,0.08877155947712417,0.24687365582371168
12489,0.08318328043733073,0.24687365582371168
14117,0.08484583935493126,0.2451857049234727
439,0.08414369371333999,0.24511999293251652
1364,0.0846553180631997,0.23732364652936067
3494,0.04971204219148359,0.2283751837837329
10504,0.08660901361461665,0.22470418265478287
8792,0.08269716096927313,0.22195145450377174
11813,0.0815330631672829,0.21995433302287193
15005,0.08177669760104886,0.20984772338739965
1276,0.07483980135992344,0.20463801466755527
5335,0.08537579990561892,0.20240282198680282
7143,0.08132274660776635,0.20027138852301096
7664,0.08149534535632291,0.1973913318942766
14630,0.08201830179280198,0.1939126458562903
2200,0.08412232290035883,0.18347662103098195
5123,0.08247455855847045,0.17728990519918675
14407,0.0822822796677143,0.1618566870828131
3599,0.08225135395083255,0.15824070546369473
219,0.08271894675444678,0.15295866349088572
1652,0.08188706616377261,0.15295866349088572
4756,0.08259823916517448,0.12934341330009236
12157,-0.10161116063701894,0.10638795576295479
